SubscriberID,SubName,SubscriberSSN,SubscriberUniqueID,SubscriberFirstName,SubscriberlastName,SubscriberDOB,SubscriberBalAmount1,SubscriberBalAmount2,SubscriberBalAmount3,SubscriberBalAmount4,DependantUniqueID,DependantID,Dependant Name,DependantSSN,DependantFirstName,DependantlastName,DependantDOB,DependantBalAmount1,DependantBalAmount2,DependantBalAmount3,DependantBalAmount4
SUB800005,Mateo Carroll,134-89-7280,SUB800005,Mateo,Carroll,9/9/1988,100,2183,1648,812,DEP00032,DEP00032,Aiyana Bolton,698-61-2045,Aiyana,Bolton,8/9/1974,100,2193,1054,2480
SUB800005,Mateo Carroll,330-10-5846,SUB800005,Mateo,Carroll,9/9/1988,100,2183,1648,812,DEP00153,DEP00153,Arabella Miranda,302-85-2238,Arabella,Miranda,11/9/1986,100,2052,647,1958
SUB800005,Mateo Carroll,404-47-3130,SUB800005,Mateo,Carroll,9/9/1988,100,2183,1648,812,DEP00195,DEP00195,Abdiel Ibarra,544-68-4824,Abdiel,Ibarra,12/9/1978,100,1579,2151,893
SUB800005,Mateo Carroll,479-79-3123,SUB800005,Mateo,Carroll,9/9/1988,100,2183,1648,812,DEP00232,DEP00232,Ryann Black,264-52-8142,Ryann,Black,1/9/1994,100,863,676,2500
SUB800005,Mateo Carroll,544-88-2710,SUB800005,Mateo,Carroll,9/9/1988,100,2183,1648,812,DEP00254,DEP00254,Sherlyn Hunt,878-89-3836,Sherlyn,Hunt,6/9/1991,100,2146,1687,2134
SUB800005,Mateo Carroll,454-77-5197,SUB800005,Mateo,Carroll,9/9/1988,100,2183,1648,812,DEP00396,DEP00396,Lance Dennis,505-53-7951,Lance,Dennis,4/9/1989,100,754,1033,1528
SUB800005,Mateo Carroll,226-51-1531,SUB800005,Mateo,Carroll,9/9/1988,100,2183,1648,812,DEP00443,DEP00443,Makena Davenport,729-92-5260,Makena,Davenport,9/9/1975,100,1622,2120,2502
SUB800006,Jaiden Miller,189-42-6895,SUB800006,Jaiden,Miller,9/9/1976,100,2482,1025,2365,DEP00056,DEP00056,Janae Haney,696-22-9054,Janae,Haney,4/9/1982,100,1256,2163,557
SUB800006,Jaiden Miller,471-51-1233,SUB800006,Jaiden,Miller,9/9/1976,100,2482,1025,2365,DEP00071,DEP00071,Jordon Love,323-62-2275,Jordon,Love,2/9/1990,100,2904,1752,826
SUB800006,Jaiden Miller,372-24-2586,SUB800006,Jaiden,Miller,9/9/1976,100,2482,1025,2365,DEP00149,DEP00149,Jarrett White,340-88-9965,Jarrett,White,9/9/1982,100,1568,2667,551
SUB800006,Jaiden Miller,338-81-2986,SUB800006,Jaiden,Miller,9/9/1976,100,2482,1025,2365,DEP00197,DEP00197,Marcos Frederick,786-32-7554,Marcos,Frederick,1/9/1980,100,643,1913,619
SUB800006,Jaiden Miller,787-38-2558,SUB800006,Jaiden,Miller,9/9/1976,100,2482,1025,2365,DEP00209,DEP00209,Ace Kirby,427-26-8145,Ace,Kirby,11/9/1987,100,1863,2014,2403
SUB800006,Jaiden Miller,211-12-3531,SUB800006,Jaiden,Miller,9/9/1976,100,2482,1025,2365,DEP00278,DEP00278,Aileen Sexton,148-11-0559,Aileen,Sexton,3/9/1983,100,2345,1427,2795
SUB800006,Jaiden Miller,544-63-5976,SUB800006,Jaiden,Miller,9/9/1976,100,2482,1025,2365,DEP00287,DEP00287,Dexter Callahan,606-81-0789,Dexter,Callahan,11/9/1980,100,1283,1142,2675
SUB800006,Jaiden Miller,404-38-7122,SUB800006,Jaiden,Miller,9/9/1976,100,2482,1025,2365,DEP00352,DEP00352,Chloe Malone,363-38-2240,Chloe,Malone,2/9/1977,100,1482,1412,533
SUB800006,Jaiden Miller,140-31-1426,SUB800006,Jaiden,Miller,9/9/1976,100,2482,1025,2365,DEP00442,DEP00442,Trinity Blanchard,615-74-0576,Trinity,Blanchard,1/9/1984,100,2642,760,1974
SUB800007,Kimberly Nichols,531-57-8084,SUB800007,Kimberly,Nichols,11/9/1992,100,1626,832,1394,DEP00166,DEP00166,Kaya Porter,285-15-8194,Kaya,Porter,3/9/1982,100,1790,2751,977
SUB800007,Kimberly Nichols,408-42-6175,SUB800007,Kimberly,Nichols,11/9/1992,100,1626,832,1394,DEP00192,DEP00192,Jacoby Woodard,671-44-5437,Jacoby,Woodard,8/9/1985,100,945,2078,1245
SUB800008,Lamar Phillips,861-09-1951,SUB800008,Lamar,Phillips,2/9/1994,100,1634,847,555,DEP00010,DEP00010,Keira Rasmussen,758-19-9104,Keira,Rasmussen,7/9/1976,100,2025,2037,2841
SUB800008,Lamar Phillips,300-37-3304,SUB800008,Lamar,Phillips,2/9/1994,100,1634,847,555,DEP00036,DEP00036,Uriah Hunter,857-77-4168,Uriah,Hunter,3/9/1975,100,1852,1773,1734
SUB800008,Lamar Phillips,117-20-2982,SUB800008,Lamar,Phillips,2/9/1994,100,1634,847,555,DEP00137,DEP00137,Eddie Cuevas,526-46-7377,Eddie,Cuevas,2/9/1986,100,1708,2259,2225
SUB800008,Lamar Phillips,293-66-0166,SUB800008,Lamar,Phillips,2/9/1994,100,1634,847,555,DEP00152,DEP00152,Derrick Maldonado,493-65-7270,Derrick,Maldonado,6/9/1986,100,1567,1390,2391
SUB800008,Lamar Phillips,557-72-4502,SUB800008,Lamar,Phillips,2/9/1994,100,1634,847,555,DEP00156,DEP00156,Cohen Walls,661-16-9517,Cohen,Walls,12/9/1988,100,2610,515,1810
SUB800008,Lamar Phillips,143-65-6380,SUB800008,Lamar,Phillips,2/9/1994,100,1634,847,555,DEP00165,DEP00165,Mckayla Barber,147-84-1568,Mckayla,Barber,4/9/1985,100,2544,1197,1565
SUB800008,Lamar Phillips,655-38-6198,SUB800008,Lamar,Phillips,2/9/1994,100,1634,847,555,DEP00307,DEP00307,Macy Andersen,263-46-5045,Macy,Andersen,9/9/1993,100,2716,1145,2583
SUB800009,Kelsey Colon,867-69-3386,SUB800009,Kelsey,Colon,5/9/1991,100,1725,804,1078,DEP00116,DEP00116,Bailee Garner,497-16-1384,Bailee,Garner,6/9/1989,100,2436,2041,1280
SUB800009,Kelsey Colon,193-62-2144,SUB800009,Kelsey,Colon,5/9/1991,100,1725,804,1078,DEP00121,DEP00121,Giovanny Hansen,679-98-5203,Giovanny,Hansen,1/9/1984,100,2631,1578,2335
SUB800009,Kelsey Colon,160-48-9520,SUB800009,Kelsey,Colon,5/9/1991,100,1725,804,1078,DEP00173,DEP00173,Raina Andrews,813-88-0475,Raina,Andrews,9/9/1990,100,1550,1703,2849
SUB800009,Kelsey Colon,830-27-2266,SUB800009,Kelsey,Colon,5/9/1991,100,1725,804,1078,DEP00238,DEP00238,Jasmine Saunders,196-42-8802,Jasmine,Saunders,2/9/1989,100,1498,1302,2172
SUB800009,Kelsey Colon,853-63-1766,SUB800009,Kelsey,Colon,5/9/1991,100,1725,804,1078,DEP00290,DEP00290,Turner Brock,550-59-7302,Turner,Brock,10/9/1987,100,2472,1933,1163
SUB800009,Kelsey Colon,238-80-0150,SUB800009,Kelsey,Colon,5/9/1991,100,1725,804,1078,DEP00292,DEP00292,Alessandro Stokes,146-02-9586,Alessandro,Stokes,8/9/1992,100,2030,1045,2685
SUB800009,Kelsey Colon,155-36-9913,SUB800009,Kelsey,Colon,5/9/1991,100,1725,804,1078,DEP00296,DEP00296,Belen Parker,754-30-2316,Belen,Parker,8/9/1990,100,2814,2128,1971
SUB800009,Kelsey Colon,138-65-3654,SUB800009,Kelsey,Colon,5/9/1991,100,1725,804,1078,DEP00309,DEP00309,Abigail Knapp,175-71-2116,Abigail,Knapp,7/9/1974,100,2907,1623,2255
SUB800009,Kelsey Colon,592-71-1651,SUB800009,Kelsey,Colon,5/9/1991,100,1725,804,1078,DEP00398,DEP00398,Rihanna Mcdowell,613-45-0736,Rihanna,Mcdowell,2/9/1986,100,2201,1230,1597
SUB800010,Keira Rasmussen,116-49-2443,SUB800010,Keira,Rasmussen,11/9/1974,100,1260,2705,860,DEP00023,DEP00023,Cadence Phillips,228-28-4399,Cadence,Phillips,3/9/1980,100,2137,670,2348
SUB800010,Keira Rasmussen,711-77-8036,SUB800010,Keira,Rasmussen,11/9/1974,100,1260,2705,860,DEP00148,DEP00148,Hope Sanford,889-09-9842,Hope,Sanford,9/9/1992,100,928,1092,1255
SUB800010,Keira Rasmussen,709-91-7621,SUB800010,Keira,Rasmussen,11/9/1974,100,1260,2705,860,DEP00179,DEP00179,Raiden Pace,837-37-8884,Raiden,Pace,11/9/1990,100,2746,1434,2475
SUB800010,Keira Rasmussen,893-46-7732,SUB800010,Keira,Rasmussen,11/9/1974,100,1260,2705,860,DEP00203,DEP00203,Soren Good,576-79-9273,Soren,Good,9/9/1983,100,2674,2437,1757
